ticker,company_name,in_lumus,in_topix_core30,in_topix100,in_jpx_prime150,in_nikkei225,notes
1332.T,,0,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1333.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
1605.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1721.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1801.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1802.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1803.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1808.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1812.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1925.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1928.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
1963.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2002.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2267.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2269.T,,0,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2282.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2413.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2432.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2501.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2502.T,,1,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2503.T,,1,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2531.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2587.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2768.T,,0,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2801.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2802.T,,1,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
2871.T,,0,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2875.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
2914.T,,0,1,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3064.T,,1,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3086.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3088.T,,1,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3092.T,,1,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3099.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3101.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3103.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3105.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3288.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3289.T,,0,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3382.T,,1,1,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3401.T,,0,0,0,0,1,Company name omitted; membership flags are current-only proxy audit flags.
3402.T,,0,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3405.T,,0,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3407.T,,1,0,1,1,1,Company name omitted; membership flags are current-only proxy audit flags.
3563.T,,0,0,0,1,1,Company name omitted; membership flags are current-only proxy audit flags.
