ticker,normalized_ticker,company_name,source_in_code,notes
7203.T,7203.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
6758.T,6758.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8306.T,8306.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8035.T,8035.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
9984.T,9984.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
9432.T,9432.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
6861.T,6861.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
6098.T,6098.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
4063.T,4063.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
6954.T,6954.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
7974.T,7974.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
6301.T,6301.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
4568.T,4568.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
6501.T,6501.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
7741.T,7741.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
7267.T,7267.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
6273.T,6273.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
4543.T,4543.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8058.T,8058.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8001.T,8001.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8031.T,8031.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8053.T,8053.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8002.T,8002.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
8316.T,8316.T,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Company name not fetched in this audit; ticker is taken directly from the static manual code list.
