ticker,company_name,sector,industry,market_segment,market_cap,market_cap_bucket,liquidity_proxy,source,notes
7203.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6758.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8306.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
8035.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9984.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
9432.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6861.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6098.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4063.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6954.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7974.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6301.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4568.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6501.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7741.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
7267.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
6273.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
4543.T,,unknown,unknown,unknown,,unknown,,integration/lumus8_current_screening.py:get_tickers_lumus():jp_tickers,Metadata not fabricated. Public metadata/index source access was insufficient for reliable per-ticker fields in this phase.
