rebalance_date,universe_mode,us_universe_size,jp_universe_size,historical_quality_flag,historical_warning,failed_reason
2024-03-18,current,500,108,not_applicable,,
2024-05-08,current,500,108,not_applicable,,
2024-06-24,current,500,108,not_applicable,,
2024-09-23,current,500,108,not_applicable,,
2024-12-23,current,500,108,not_applicable,,
2025-03-24,current,500,108,not_applicable,,
2025-05-19,current,500,108,not_applicable,,
2025-07-09,current,500,108,not_applicable,,
2025-07-18,current,500,108,not_applicable,,
2025-07-23,current,500,108,not_applicable,,
2025-08-28,current,500,108,not_applicable,,
2025-09-22,current,500,108,not_applicable,,
2025-12-22,current,500,108,not_applicable,,
2026-02-09,current,500,108,not_applicable,,
2026-03-23,current,500,108,not_applicable,,
2026-04-09,current,500,108,not_applicable,,
2024-03-18,historical,496,108,ok,,
2024-05-08,historical,496,108,ok,,
2024-06-24,historical,496,108,ok,,
2024-09-23,historical,496,108,ok,,
2024-12-23,historical,496,108,ok,,
2025-03-24,historical,498,108,ok,,
2025-05-19,historical,498,108,ok,,
2025-07-09,historical,499,108,ok,,
2025-07-18,historical,499,108,ok,,
2025-07-23,historical,499,108,ok,,
2025-08-28,historical,499,108,ok,,
2025-09-22,historical,499,108,ok,,
2025-12-22,historical,499,108,ok,,
2026-02-09,historical,499,108,ok,,
2026-03-23,historical,500,108,ok,,
2026-04-09,historical,500,108,ok,,
