ttl,slippage_rate,cagr,maxdd,sharpe,turnover
30,0.0,0.2356560330268343,-0.20151999999999998,1.1439613253729821,0.6
60,0.0,0.2405137924563708,-0.19711,1.2302495777819478,0.3
90,0.0,0.2426284481140927,-0.19564,1.2636898339275662,0.2
120,0.0,0.2435,-0.194905,1.2798948751642576,0.15
180,0.0,0.2425137924563708,-0.19417,1.2865453180709328,0.1
365,0.0,0.21972640270219554,-0.1934249315068493,1.176731523531676,0.049315068493150684
30,0.001,0.2210460330268343,-0.20517249999999998,1.0730389952758947,0.6
60,0.001,0.2368612924563708,-0.198023125,1.21156671333182,0.3
90,0.001,0.24100511478075937,-0.19604583333333334,1.255234972816455,0.2
120,0.001,0.242586875,-0.19513328124999998,1.2750952693823916,0.15
180,0.001,0.24210795912303748,-0.19427145833333334,1.2843923560903845,0.1
365,0.001,0.2196277050103209,-0.19344960592981797,1.1762029539838181,0.049315068493150684
30,0.002,0.2064360330268343,-0.20882499999999998,1.0021166651788074,0.6
60,0.002,0.2332087924563708,-0.19893625,1.192883848881692,0.3
90,0.002,0.23938178144742603,-0.19645166666666666,1.2467801117053439,0.2
120,0.002,0.24167375,-0.1953615625,1.2702956636005256,0.15
180,0.002,0.24170212578970415,-0.19437291666666667,1.2822393941098365,0.1
365,0.002,0.21952900731844624,-0.19347428035278663,1.1756743844359603,0.049315068493150684
30,0.003,0.1918260330268343,-0.21247749999999999,0.9311943350817199,0.6
60,0.003,0.2295562924563708,-0.199849375,1.1742009844315642,0.3
90,0.003,0.2377584481140927,-0.19685750000000002,1.2383252505942328,0.2
120,0.003,0.240760625,-0.19558984375,1.2654960578186596,0.15
180,0.003,0.2412962924563708,-0.194474375,1.280086432129288,0.1
365,0.003,0.2194303096265716,-0.1934989547757553,1.1751458148881027,0.049315068493150684
