anchor_date,ticker,security,gics_sector,gics_sub_industry,source,source_url,verified_at,original_ticker,normalized_ticker
2026-06-03,MMM,MMM,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,MMM,MMM
2026-06-03,AOS,AOS,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,AOS,AOS
2026-06-03,ABT,ABT,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ABT,ABT
2026-06-03,ABBV,ABBV,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ABBV,ABBV
2026-06-03,ACN,ACN,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ACN,ACN
2026-06-03,ADBE,ADBE,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ADBE,ADBE
2026-06-03,AMD,AMD,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,AMD,AMD
2026-06-03,AES,AES,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,AES,AES
2026-06-03,AFL,AFL,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,AFL,AFL
2026-06-03,A,A,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,A,A
2026-06-03,APD,APD,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,APD,APD
2026-06-03,ABNB,ABNB,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ABNB,ABNB
2026-06-03,AKAM,AKAM,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,AKAM,AKAM
2026-06-03,ALB,ALB,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ALB,ALB
2026-06-03,ARE,ARE,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ARE,ARE
2026-06-03,ALGN,ALGN,,,Bundled current S&P 500 constituent seed cross-checked against Wikipedia/Slickcharts,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies; https://www.slickcharts.com/sp500,2026-06-03,ALGN,ALGN
